y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
10.93574865,0.32006721,1.712045062,2.124474859,0.420025435,1.640806068,0.347348282,1.97939893,1.336386229,0.731044766,0.790297419
11.38764507,-0.556274173,-0.244832787,1.145345341,1.665215784,1.996905774,2.301290453,0.072536275,1.569467743,1.753670304,2.045643689
8.703515043,1.812103465,1.023035161,1.388702508,0.930897674,0.184422712,-0.895900797,1.684318888,2.511225596,1.327473646,-0.883222875
12.18628944,2.222911769,2.029380165,2.006989174,0.008594635,1.297051932,1.005925542,1.178475293,0.715104963,0.485501867,0.89586968
7.016581752,-0.319250322,-0.365533155,1.374541096,1.599613396,0.29181954,1.139449961,1.29451923,0.481654861,0.994353336,0.894943482
6.208281058,1.225757107,1.632628455,1.9679367,1.765391898,0.143758532,-2.433973294,-0.92029691,1.283950479,0.419139241,1.247754475
13.89544676,2.779688985,2.764263138,0.647964026,0.766006969,-0.339151426,1.569787697,2.121296413,2.125270088,0.521097776,1.045263457
18.78966586,1.504502383,0.987585227,1.473594178,2.418768567,2.708319977,0.272687569,2.029355331,2.811876049,0.896356107,3.27552483
5.920448844,-0.111024675,0.485425581,0.562371558,0.869817635,-0.360972358,0.97994824,1.923999725,0.820337591,1.124107088,-0.265140058
9.313355213,1.691394222,2.135784014,1.030271832,1.308200408,0.548853226,1.484502717,0.220198684,-0.124034818,-1.192031607,2.078794205
10.97282617,1.264999197,1.236705698,1.98933791,0.05249246,0.150113679,3.292856774,0.541887832,-0.115378172,1.292901408,1.209561201
10.8446101,1.75401364,2.126250359,1.828138291,0.649802019,1.884176283,-0.590370144,1.076403154,1.126384558,2.249314275,-1.250792547
7.110657183,0.44970245,-0.438977595,0.892760696,0.579324184,0.191832258,-0.688599289,0.300877524,1.373944336,1.858874638,2.349444948
8.917424227,1.099421774,0.260440879,1.88139653,0.685721299,1.191132014,0.530851192,1.664275498,-0.076561881,1.079457819,0.773405149
9.646333393,0.209762669,0.431538581,0.903213588,1.618588063,0.041428665,0.454860829,2.409333522,1.766545403,0.182270501,1.501226608
9.108237241,1.466049843,0.232385356,0.466348147,0.99248831,0.635236535,0.547135975,1.850302841,0.641889022,0.541147508,1.940483021
6.963870896,0.224559833,0.569146376,1.188582785,1.384004893,1.354233505,1.332365809,-1.373493492,1.115670687,-0.723872344,1.819946153
9.959025286,0.556890152,-0.16552963,0.107563331,0.05593093,1.688914393,1.348826864,2.681627922,1.757882879,1.1390558,0.995705526
11.65808302,1.99749328,2.180442268,0.262477695,0.992399387,3.959642261,1.910817924,0.602474372,-1.565557829,1.498553383,0.210435751
